timestamp,temperature,temperature_min,temperature_max,humidity,pressure,anomaly,status
2024-12-30 03:00:00,22.97,22.97,22.97,73,1019,1,Bình thường
2024-12-30 06:00:00,22.77,22.77,22.77,80,1016,1,Bình thường
2024-12-30 09:00:00,22.84,22.84,22.84,80,1015,1,Bình thường
2024-12-30 12:00:00,22.51,22.51,22.51,83,1017,1,Độ ẩm 83% > 80% (quá ẩm)
2024-12-31 03:00:00,21.65,21.65,21.65,91,1019,-1,Độ ẩm 91% > 80% (quá ẩm)
2024-12-31 06:00:00,21.8,21.8,21.8,82,1016,1,Độ ẩm 82% > 80% (quá ẩm)
2024-12-31 09:00:00,21.89,21.89,21.89,77,1015,1,Bình thường
2024-12-31 12:00:00,21.84,21.84,21.84,76,1017,1,Bình thường
2025-01-01 03:00:00,21.36,21.36,21.36,79,1017,1,Bình thường
2025-01-01 06:00:00,22.72,22.72,22.72,69,1015,1,Bình thường
2025-01-01 09:00:00,22.75,22.75,22.75,71,1013,1,Bình thường
2025-01-01 12:00:00,21.96,21.96,21.96,73,1015,1,Bình thường
2025-01-02 03:00:00,20.88,20.88,20.88,88,1016,1,Độ ẩm 88% > 80% (quá ẩm)
2025-01-02 06:00:00,20.93,20.93,20.93,88,1014,1,Độ ẩm 88% > 80% (quá ẩm)
2025-01-02 09:00:00,20.93,20.93,20.93,87,1013,1,Độ ẩm 87% > 80% (quá ẩm)
2025-01-02 12:00:00,20.84,20.84,20.84,88,1015,1,Độ ẩm 88% > 80% (quá ẩm)
2025-01-03 03:00:00,22.58,22.58,22.58,74,1019,1,Bình thường
2025-01-03 06:00:00,22.47,22.47,22.47,73,1017,1,Bình thường
2025-01-03 09:00:00,22.09,22.09,22.09,77,1017,1,Bình thường
2025-01-03 12:00:00,22.03,22.03,22.03,75,1018,1,Bình thường
