timestamp,temperature,temperature_min,temperature_max,humidity,pressure
2024-12-30 03:00:00,22.43,22.43,22.43,80,1019
2024-12-30 06:00:00,22.66,22.66,22.66,80,1016
2024-12-30 09:00:00,21.81,21.81,21.81,88,1015
2024-12-30 12:00:00,20.5,20.5,20.5,93,1018
2024-12-31 03:00:00,20.57,20.57,20.57,93,1020
2024-12-31 06:00:00,20.63,20.63,20.63,89,1017
2024-12-31 09:00:00,20.05,20.05,20.05,89,1016
2024-12-31 12:00:00,19.29,19.29,19.29,94,1018
2025-01-01 03:00:00,19.95,19.95,19.95,87,1018
2025-01-01 06:00:00,23.14,23.14,23.14,66,1015
2025-01-01 09:00:00,21.39,21.39,21.39,78,1014
2025-01-01 12:00:00,19.58,19.58,19.58,82,1016
2025-01-02 03:00:00,18.99,18.99,18.99,88,1017
2025-01-02 06:00:00,19.7,19.7,19.7,89,1015
2025-01-02 09:00:00,19.42,19.42,19.42,92,1014
2025-01-02 12:00:00,18.85,18.85,18.85,96,1016
2025-01-03 03:00:00,19.8,19.8,19.8,98,1018
2025-01-03 06:00:00,20.57,20.57,20.57,87,1017
2025-01-03 09:00:00,19.74,19.74,19.74,88,1017
2025-01-03 12:00:00,19.4,19.4,19.4,87,1018
