Material|Old Material|Vendor ID|Vendor Name|List Price|Quantity|PDT/LT|SKU Category|Selling UOM|Material Description|DChain Spec Status|Material Group 2 Description|Material Group 5 Description|Sales Text (F)
00105-01525||||1054.00|0.00|70||EA|GAUGE,ION,MINI,.75 inch DIA TUBE,RoHS||RSD-Temperature Control|RSD Prefix - HAU|
003230F|SOR003230F|||634.00|0.00|98|CORE|PAA|SEALED SHIELD 50 ML FALCON/CORNING||RSD-Centrifugation|RSD Prefix - THR|
010-0128|SOR010-0128|IVG2960|Thermo Fisher Scientific Pte Ltd.|224.00|0.00|98|CORE|EA|10.4 ml PC Bottle Assembly pk/2||RSD-Centrifugation|RSD Prefix - SOR|
010-0150|NLG010-0150|IVG2960|Thermo Fisher Scientific Pte Ltd.|1566.00|0.00|98|CORE|PK|ADAPTER 1000ml TO 250ml(2-pk)||RSD-Centrifugation|RSD Prefix - SOR|
010-0377|SOR010-0377|IVG2960|Thermo Fisher Scientific Pte Ltd.|259.00|0.00|98|CORE|EA|50mL Conical to 50mL, ADPT pk/2||RSD-Centrifugation|RSD Prefix - THR|
010-1270|SOR010-1270|IVG2960|Thermo Fisher Scientific Pte Ltd.|0.00|0.00|98|CORE|EA|100 TO 50 mlC Adapter, 2/pk||RSD-Centrifugation|RSD Prefix - SOR|
010-1331|THR010-1331|IVG2960|Thermo Fisher Scientific Pte Ltd.|406.00|0.00|98||EA|BECKMAN TUBE 70mL PC 8 PK||RSD-Centrifugation|RSD Prefix - THR|
010-1333|SOR010-1333|IVG2960|Thermo Fisher Scientific Pte Ltd.|1859.00|0.00|98|CORE|EA|BOTTLE ASSEMBLY, PC, 70ML, CAP, 8 pc.||RSD-Centrifugation|RSD Prefix - FBL|
010-1340|SOR010-1340|IVG2960|Thermo Fisher Scientific Pte Ltd.|1031.00|0.00|98|CORE|PK|Tube Adapter 50mL conical to 15mL conica||RSD-Centrifugation|RSD Prefix - SOR|
010-1410|SOR010-1410|IVG2960|Thermo Fisher Scientific Pte Ltd.|1419.00|8.00|98|CORE|PK|Adapter 250 to 15mLc||RSD-Centrifugation|RSD Prefix - FBL|
010-1455|SOR010-1455|IVG2960|Thermo Fisher Scientific Pte Ltd.|326.00|0.00|98|CORE|EA|Bottle PPCO 1L ,Plug,Oring W/O cap PK/2||RSD-Centrifugation|RSD Prefix - FBL|
010-1456|SOR010-1456|IVG2960|Thermo Fisher Scientific Pte Ltd.|775.00|2.00|98|CORE|PK|LYNX Superspeed 1LBottle Assy PP(2/PK)||RSD-Centrifugation|RSD Prefix - FBL|
010-1459|SOR010-1459|IVG2960|Thermo Fisher Scientific Pte Ltd.|793.00|0.00|98|CORE|PK|LYNX Superspeed 1LBottle Assy PC(2/PK)||RSD-Centrifugation|RSD Prefix - FBL|
010-1491|SOR010-1491|IVG2960|Thermo Fisher Scientific Pte Ltd.|433.00|0.00|98|CORE|PK|1LBottle Assy PP(2/PK)||RSD-Centrifugation|RSD Prefix - FBL|
010-1493|SOR010-1493|IVG2960|Thermo Fisher Scientific Pte Ltd.|490.00|0.00|98|CORE|EA|500 ml Bottle Assy PP||RSD-Centrifugation|RSD Prefix - FBL|
010-Q|QSP010-Q|IVG2960|Thermo Fisher Scientific Pte Ltd.|77.00|0.13|147|CORE|PK|PIPETTE TIP 1-200UL NATURAL BAG||RSD-Liquid Handing|RSD Prefix - QSP|
010-R204-Q|QSP010-R204-Q|IVG2960|Thermo Fisher Scientific Pte Ltd.|115.00|13.00|147|CORE|EA|PIPETTE TIP 1-200UL NATURAL||RSD-Liquid Handing|RSD Prefix - QSP|
01X211204|FSP01X211204|IC2086|EUTECH INSTRUMENTS PTE LTD|0.00|0.00|52|CORE||pH 4.01 Buffer Solution (Red), 480 mL||RSD-Water Analysis Instru|RSD Prefix - FSP|
01X211205|FSP01X211205|IC2086|EUTECH INSTRUMENTS PTE LTD|0.00|0.00|52|CORE||pH 10.01 Buffer Solution (Blue), 480 mL||RSD-Water Analysis Instru|RSD Prefix - FSP|
01X211207|FSP01X211207|IC2086|EUTECH INSTRUMENTS PTE LTD|0.00|0.00|52|CORE||1413 #S/cm KCl Calibration Solution, 480||RSD-Water Analysis Instru|RSD Prefix - FSP|
01X211210|FSP01X211210|IC2086|EUTECH INSTRUMENTS PTE LTD|0.00|0.00|52|CORE||12.88 mS/cm KCl Calibration Solution||RSD-Water Analysis Instru|RSD Prefix - FSP|
01X211213|FSP01X211213|IC2086|EUTECH INSTRUMENTS PTE LTD|0.00|0.00|52|CORE||pH 7.00 Buffer Solution (Yellow), 480 mL||RSD-Water Analysis Instru|RSD Prefix - FSP|
